{Building: Medical Sciences, Campus: North Campus, Floor: Level 5, Room: 505, Centroid: (-355.26224, -13.61288)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 5, Room: 510, Centroid: (-534.94546, -39.47352)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 5, Room: 512, Centroid: (-536.16084, 30.10143)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 5, Room: 514, Centroid: (-510.46792, 99.5034)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 5, Room: 516, Centroid: (-448.70054, 74.84266)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 5, Room: 524, Centroid: (-331.78172, 119.25083)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 5, Room: 534, Centroid: (-166.17902, 74.09641)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 5, Room: 575, Centroid: (432.83916, 30.51852)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 5, Room: 577, Centroid: (455.78671, 30.51852)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 5, Room: 578, Centroid: (477.69321, 30.51852)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 5, Room: 579, Centroid: (519.98304, 40.17312)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 5, Room: 581, Centroid: (460.01752, -29.43964)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 5, Room: 598, Centroid: (444.49959, 96.32628)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 5, Room: Building Outline, Centroid: (-23.55277, 21.78043)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 5, Room: Elevator, Centroid: (81.10711, 152.24236)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 5, Room: Elevator, Centroid: (-529.92238, -174.49813)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 5, Room: Elevator, Centroid: (587.12036, -73.11656)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 5, Room: Hallway, Centroid: (-2.41608, 23.50073)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 5, Room: Stairs, Centroid: (-583.34145, -157.64531)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 5, Room: Stairs, Centroid: (519.33599, -108.54828)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 5, Room: Stairs, Centroid: (-381.10451, 159.38656)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 5, Room: Stairs, Centroid: (52.58642, 159.66641)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 5, Room: Stairs, Centroid: (338.56227, 159.6975)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 5, Room: To Katz Group Centre, Centroid: (190.28501, 127.40067)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 5, Room: Washroom Men, Centroid: (-381.85541, 71.12286)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 5, Room: Washroom Men, Centroid: (-510.91881, -110.75843)}
